CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal (RM),Total_Trans_Amt (RM),Total_Trans_Ct
768805383,Existing Customer,45,M,3,High School,Married,RM60K - RM80K,Blue,39,12691,777,1144,42
818770008,Existing Customer,49,F,5,Graduate,Single,Less than RM40K,Blue,44,8256,864,1291,33
713982108,Existing Customer,51,M,3,Graduate,Married,RM80K - RM120K,Blue,36,3418,0,1887,20
769911858,Existing Customer,40,F,4,High School,Unknown,Less than RM40K,Blue,34,3313,2517,1171,20
709106358,Existing Customer,40,M,3,Uneducated,Married,RM60K - RM80K,Blue,21,4716,0,816,28
713061558,Existing Customer,44,M,2,Graduate,Married,RM40K - RM60K,Blue,36,4010,1247,1088,24
810347208,Existing Customer,51,M,4,Unknown,Married,RM120K +,Gold,46,34516,2264,1330,31
818906208,Existing Customer,32,M,0,High School,Unknown,RM60K - RM80K,Silver,27,29081,1396,1538,36
710930508,Existing Customer,37,M,3,Uneducated,Single,RM60K - RM80K,Blue,36,22352,2517,1350,24
719661558,Existing Customer,48,M,2,Graduate,Single,RM80K - RM120K,Blue,36,11656,1677,1441,32
708790833,Existing Customer,42,M,5,Uneducated,Unknown,RM120K +,Blue,31,6748,1467,1201,42
710821833,Existing Customer,65,M,1,Unknown,Married,RM40K - RM60K,Blue,54,9095,1587,1314,26
710599683,Existing Customer,56,M,1,College,Single,RM80K - RM120K,Blue,36,11751,0,1539,17
816082233,Existing Customer,35,M,3,Graduate,Unknown,RM60K - RM80K,Blue,30,8547,1666,1311,33
712396908,Existing Customer,57,F,2,Graduate,Married,Less than RM40K,Blue,48,2436,680,1570,29
714885258,Existing Customer,44,M,4,Unknown,Unknown,RM80K - RM120K,Blue,37,4234,972,1348,27
709967358,Existing Customer,48,M,4,Post-Graduate,Single,RM80K - RM120K,Blue,36,30367,2362,1671,27
753327333,Existing Customer,41,M,3,Unknown,Married,RM80K - RM120K,Blue,34,13535,1291,1028,21
806160108,Existing Customer,61,M,1,High School,Married,RM40K - RM60K,Blue,56,3193,2517,1336,30
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,14470,1157,1207,21
806165208,Existing Customer,47,M,1,Doctorate,Divorced,RM60K - RM80K,Blue,42,20979,1800,1178,27
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than RM40K,Blue,49,1438.3,0,692,16
784725333,Existing Customer,41,M,3,High School,Married,RM40K - RM60K,Blue,33,4470,680,931,18
811604133,Existing Customer,47,F,4,Unknown,Single,Less than RM40K,Blue,36,2492,1560,1126,23
789124683,Existing Customer,54,M,2,Unknown,Married,RM80K - RM120K,Blue,42,12217,0,1110,21
771071958,Existing Customer,41,F,3,Graduate,Single,Less than RM40K,Blue,28,7768,1669,1051,22
720466383,Existing Customer,59,M,1,High School,Unknown,RM40K - RM60K,Blue,46,14784,1374,1197,23
804424383,Existing Customer,63,M,1,Unknown,Married,RM60K - RM80K,Blue,56,10215,1010,1904,40
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,10100,0,1052,18
806624208,Existing Customer,47,M,4,High School,Married,RM40K - RM60K,Blue,42,4785,1362,1045,38
778348233,Existing Customer,53,M,3,Unknown,Married,RM80K - RM120K,Blue,33,2753,1811,1038,25
712991808,Existing Customer,53,M,2,Uneducated,Married,RM60K - RM80K,Blue,48,2451,1690,1596,26
709029408,Existing Customer,41,M,4,Graduate,Married,RM60K - RM80K,Blue,36,8923,2517,1589,24
788658483,Existing Customer,53,F,2,College,Married,Less than RM40K,Blue,38,2650,1490,1411,28
787937058,Existing Customer,58,M,0,Graduate,Married,RM80K - RM120K,Blue,49,12555,1696,1291,24
715318008,Existing Customer,55,F,1,College,Single,Less than RM40K,Blue,36,3520,1914,1407,43
713962233,Existing Customer,55,F,3,Graduate,Married,Less than RM40K,Blue,36,3035,2298,1877,37
785432733,Existing Customer,42,F,4,High School,Married,Less than RM40K,Gold,36,15433,0,966,22
715190283,Existing Customer,57,F,1,Graduate,Unknown,RM40K - RM60K,Blue,49,3672,886,1464,28
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,7882,605,704,16
827111283,Existing Customer,45,M,3,Graduate,Single,RM80K - RM120K,Blue,41,32426,578,1109,28
758551608,Existing Customer,51,M,2,Unknown,Married,RM40K - RM60K,Blue,44,6205,2204,1347,28
773146383,Existing Customer,50,F,1,College,Single,RM40K - RM60K,Silver,43,17304,2517,1756,33
778493808,Existing Customer,49,M,3,High School,Married,RM60K - RM80K,Blue,37,3906,0,1756,32
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,9830,2055,1042,23
712661433,Existing Customer,49,M,4,Uneducated,Single,RM80K - RM120K,Blue,30,34516,0,1444,28
789172683,Existing Customer,56,M,2,Doctorate,Married,RM60K - RM80K,Blue,45,2283,1430,1741,27
738406533,Existing Customer,59,M,1,Doctorate,Married,RM40K - RM60K,Blue,52,2548,2020,1719,27
799723908,Existing Customer,46,M,3,High School,Married,RM80K - RM120K,Blue,40,19458,1435,1217,27
771490833,Existing Customer,52,M,1,College,Single,RM80K - RM120K,Blue,40,4745,1227,1140,40
720756708,Existing Customer,52,F,3,Unknown,Married,Less than RM40K,Blue,41,2622,1549,1878,30
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than RM40K,Blue,40,1438.3,808,705,19
711525033,Existing Customer,66,F,0,High School,Married,Less than RM40K,Blue,54,3171,2179,1946,38
712813458,Existing Customer,49,M,2,Unknown,Married,RM120K +,Blue,36,19763,2517,1414,35
714374133,Attrited Customer,56,M,2,Graduate,Married,RM120K +,Blue,36,15769,0,602,15
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than RM40K,Blue,36,3298,2200,1052,32
716632758,Existing Customer,49,F,3,Graduate,Single,Less than RM40K,Blue,36,2802,2363,1295,40
768563658,Existing Customer,56,M,2,Uneducated,Married,RM40K - RM60K,Blue,50,4458,1880,1424,29
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,6273,978,1359,25
714091983,Existing Customer,42,M,2,High School,Single,RM60K - RM80K,Blue,34,3336,1753,1168,27
787584108,Existing Customer,55,M,3,Unknown,Married,RM80K - RM120K,Blue,47,3436,2016,1097,33
712030833,Attrited Customer,48,M,2,Graduate,Married,RM60K - RM80K,Silver,35,34516,0,691,15
711481533,Existing Customer,39,M,1,High School,Divorced,RM60K - RM80K,Blue,33,5926,1251,1316,28
710082708,Existing Customer,44,M,4,Post-Graduate,Single,RM120K +,Blue,32,23957,2102,1276,26
708155733,Existing Customer,53,M,2,High School,Single,RM120K +,Blue,44,14734,1634,1289,23
788979258,Existing Customer,51,M,4,Uneducated,Single,RM80K - RM120K,Silver,38,34516,1515,1293,32
807986133,Existing Customer,57,M,2,College,Married,RM60K - RM80K,Blue,52,6584,1817,1353,35
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than RM40K,Blue,20,2084,1468,1132,28
711314058,Existing Customer,49,M,2,Graduate,Married,RM60K - RM80K,Blue,32,1687,1107,1670,17
717975333,Existing Customer,50,M,2,Doctorate,Married,RM80K - RM120K,Blue,38,25300,1330,837,15
715971108,Existing Customer,51,M,4,Graduate,Single,RM120K +,Blue,42,34516,1763,1550,41
720096558,Existing Customer,55,F,2,Graduate,Married,Less than RM40K,Blue,42,2216,1034,1540,36
719580033,Existing Customer,54,M,1,Graduate,Unknown,RM60K - RM80K,Blue,43,2910,2030,1256,21
820582308,Existing Customer,42,M,5,Uneducated,Married,RM80K - RM120K,Blue,37,22913,1528,1394,35
789973308,Existing Customer,44,M,1,College,Single,RM60K - RM80K,Blue,35,24312,1932,1341,24
712876233,Existing Customer,53,M,2,Graduate,Single,RM80K - RM120K,Blue,36,5272,1515,1289,33
804595158,Existing Customer,44,F,4,Graduate,Single,Less than RM40K,Blue,36,7000,2517,1112,23
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than RM40K,Blue,29,7038,1801,2339,57
779058108,Existing Customer,49,M,3,Graduate,Divorced,RM60K - RM80K,Blue,30,2536,1823,1468,23
710790258,Existing Customer,47,M,2,Graduate,Married,RM80K - RM120K,Blue,38,28904,1899,1334,35
715623483,Existing Customer,47,M,3,Graduate,Married,RM60K - RM80K,Blue,37,8567,1695,1457,41
715156383,Existing Customer,44,M,1,Unknown,Unknown,RM120K +,Blue,36,34516,1533,1603,29
711013983,Attrited Customer,55,F,4,Unknown,Married,RM40K - RM60K,Blue,45,2158,0,615,12
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,10133,1417,1068,20
794543958,Existing Customer,53,M,1,Graduate,Divorced,RM80K - RM120K,Blue,35,34516,1219,1590,27
716396358,Existing Customer,52,M,2,Graduate,Married,RM60K - RM80K,Blue,47,3085,1910,1531,35
715398033,Existing Customer,53,M,2,High School,Single,RM120K +,Blue,35,19040,2056,1212,31
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than RM40K,Blue,35,4026,0,1237,32
719720058,Existing Customer,44,M,3,High School,Single,RM60K - RM80K,Blue,31,12756,837,1413,14
778992108,Existing Customer,57,M,2,Unknown,Married,RM120K +,Blue,45,5266,0,1516,29
717539808,Existing Customer,51,F,2,High School,Single,Less than RM40K,Blue,36,9930,0,1276,21
714070758,Existing Customer,49,M,4,High School,Single,RM80K - RM120K,Blue,38,31302,1953,1564,35
714107958,Existing Customer,45,M,1,Graduate,Single,RM40K - RM60K,Blue,36,6576,0,1465,34
789140283,Existing Customer,53,M,0,Graduate,Single,RM80K - RM120K,Blue,42,2664,2037,1286,29
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,2535,2440,1312,20
719712633,Existing Customer,64,M,1,Graduate,Married,Less than RM40K,Blue,52,1709,895,1673,32
772629333,Existing Customer,45,M,3,Graduate,Married,RM40K - RM60K,Blue,35,3454,1200,1313,30
720336708,Existing Customer,53,M,3,Doctorate,Married,RM40K - RM60K,Blue,35,3789,1706,1609,42
802013583,Existing Customer,56,M,3,College,Married,RM120K +,Blue,50,9689,2250,1158,19
711887583,Attrited Customer,47,M,2,Unknown,Married,RM80K - RM120K,Blue,37,5449,1628,836,18
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,23032,1960,1289,22
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,34516,2053,1487,26
779155158,Existing Customer,53,M,3,Graduate,Married,RM120K +,Blue,34,2940,1264,1259,33
721091583,Existing Customer,44,F,2,Graduate,Single,Less than RM40K,Blue,32,3031,1879,1298,15
713572683,Existing Customer,44,M,3,High School,Unknown,RM60K - RM80K,Blue,25,1862,0,1226,34
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than RM40K,Blue,33,8358,926,1566,37
779509983,Existing Customer,53,M,2,Post-Graduate,Single,RM120K +,Blue,36,34516,931,1022,21
717929133,Existing Customer,44,M,1,Uneducated,Married,RM60K - RM80K,Blue,36,14450,2440,1235,30
808284783,Existing Customer,62,F,1,Unknown,Married,Less than RM40K,Blue,56,1438.3,0,1951,44
708476808,Existing Customer,54,M,4,Unknown,Divorced,RM120K +,Blue,36,33791,1960,1047,31
710916408,Existing Customer,57,M,4,Graduate,Married,RM60K - RM80K,Blue,39,8466,1886,1342,32
708492558,Existing Customer,42,M,3,Unknown,Married,RM60K - RM80K,Blue,36,15088,865,1107,21
799825758,Existing Customer,42,M,4,High School,Divorced,RM60K - RM80K,Blue,36,3263,1674,1251,35
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than RM40K,Blue,36,1494,706,1305,24
711844758,Existing Customer,48,M,3,Graduate,Single,RM80K - RM120K,Blue,35,13551,1294,1388,37
714798783,Existing Customer,49,M,1,Graduate,Single,RM80K - RM120K,Blue,36,18886,895,1235,18
826762908,Existing Customer,52,M,3,High School,Unknown,RM80K - RM120K,Blue,48,11976,1273,2089,36
771894558,Existing Customer,50,M,3,High School,Single,RM80K - RM120K,Blue,39,9964,1559,1626,25
721074183,Existing Customer,49,M,1,Doctorate,Married,RM60K - RM80K,Blue,36,24159,1196,1111,24
715259583,Existing Customer,53,F,2,High School,Married,Less than RM40K,Blue,44,5362,1901,1553,38
718414008,Existing Customer,50,M,2,Graduate,Single,RM120K +,Blue,36,34516,1023,1064,13
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than RM40K,Blue,36,3174,1951,1243,29
714877233,Existing Customer,53,M,1,High School,Married,RM80K - RM120K,Blue,47,12262,1836,1659,38
